"STATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DP1X","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","DYFG","DYHF","DYTS","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","FZF0","FZF1","FZF2","FZF3","FZF4","FZF5","FZF6","FZF7","FZF8","FZF9","HDSD","HN01","HN02","HN03","HTDD","HX01","HX02","HX03","LN01","LN02","LN03","LX01","LX02","LX03","MN01","MN02","MN03","MNPN","MX01","MX02","MX03","MXPN","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WDMV","WSF1","WSF2","WSF5","WSFG","WSFM"
"USR0000CLAU","2018",,"633","633",,,,,,"         0","       138","         8","       159","        48",,,,"7",,,,"99",,"32","27","24","19","14","31","28","23","16","16","5649",,,,"5649",,,,,,,,,,,,,,,,,,,,,"51.2","64.7","37.6",,,,,,,,,,,,
"USR0000CALP","2018",,"1650","1650",,,,,,"         0","         4","         0","       250","        50",,,,"27",,,,"103",,,,,,,"31","27",,,,"1594",,,,"1594",,,,,,,,,,,,,,,,,,,,,"64.6","75.1","54.0",,,,,,,,,,,,
"USC00044211","2018",,"693","693","        45","        32","         6",,,"         0","        66","         0","       168","        27",,,,"12",,,"2.65","103",,"27","27","18","18",,"27","27","24","16","16","3768",,,,"3768",,,,,,,,,,,,,,,,,,"18.44",,,"55.8","69.4","42.3",,,,,,,,,,,,
"USR0000CTRA","2018",,"922","922",,,,,,"         0","         2","         0","       164","        33",,,,"31",,,,"98",,,,,,,"31",,,,,"2940",,,,"2940",,,,,,,,,,,,,,,,,,,,,"59.5","68.1","50.8",,,,,,,,,,,,
"USR0000CLAY","2018",,"748","748",,,,,,"         0","        56","         0","       216","        67",,,,"25",,,,"106",,"31","28",,,,"32","27",,,,"3631",,,,"3631",,,,,,,,,,,,,,,,,,,,,"57.3","72.3","42.3",,,,,,,,,,,,
"USR0000CALD","2018",,"1042","1042",,,,,,"         0","        56","         2","       155","        22",,,,"19",,,,"98",,"29","28",,,,"28","28","24","19",,"4024",,,,"4024",,,,,,,,,,,,,,,,,,,,,"56.7","65.1","48.3",,,,,,,,,,,,
"USS0019L41S","2018",,"0","0","        78","        78","        12","      170",,"        19","       239","        31","        62","         0",,,,"-17","80",,"2.20","79",,"31","27","23","19","9","31","28","18","18","15","9092",,,,"9092",,,,,,,,,,,,,,,,,,"36.28",,,"39.8","54.0","25.7",,,,,,,,,,,,
"USR0000CLAR","2018",,"2204","2204",,,,,,"         0","        16","         0","       203","        84",,,,"24",,,,"102",,"30","27",,,,"29","28","24",,,"2418",,,,"2418",,,,,,,,,,,,,,,,,,,,,"63.8","72.4","55.1",,,,,,,,,,,,
"USR0000CLAS","2018",,"1275","1275",,,,,,"         0","        54","         0","       181","        54",,,,"18",,,,"99",,"30","27",,,,"26","26","24","20",,"3784",,,,"3784",,,,,,,,,,,,,,,,,,,,,"58.2","68.3","48.1",,,,,,,,,,,,
"USR0000CLAP","2018",,"1085","1085",,,,,,"         0","        82","         0","       253","        96",,,,"14",,,,"107",,"32","26","23","20",,"30","28","24","19","15","3081",,,,"3081",,,,,,,,,,,,,,,,,,,,,"59.4","78.1","40.8",,,,,,,,,,,,
"USW00023182","2018","10.3","2268","2268","        20","        12","         1",,,"         0","        31","         0","       247","       119","        19","         1","         2","21",,,"1.43","109",,"30","27",,,,"30","27","21",,,"2226",,,,"2226",,,,,,,,,,,,,,,,,,"4.46",,,"64.7","78.9","50.4",,,,,,,,,,,,
"USR0000CLAG","2018",,"444","444",,,,,,"         0","        82","         1","       164","        14",,,,"10",,,,"94",,"31","25","24","18",,"31","25","18","18","10","4221",,,,"4221",,,,,,,,,,,,,,,,,,,,,"53.9","67.3","40.5",,,,,,,,,,,,
"USR0000CPIK","2018",,"1181","1181",,,,,,"         0","        36","         2","       171","        21",,,,"22",,,,"94",,"30",,,,,"30","28","24",,,"3401",,,,"3401",,,,,,,,,,,,,,,,,,,,,"58.9","67.0","50.8",,,,,,,,,,,,
"USR0000CPIH","2018",,"1197","1197",,,,,,"         0","        38","         0","       173","        45",,,,"20",,,,"96",,"31","28",,,,"25","25","23","20",,"3206",,,,"3206",,,,,,,,,,,,,,,,,,,,,"58.8","68.8","48.8",,,,,,,,,,,,
"USW00023188","2018","5.8","1217","1217","        28","        13","         2",,,"         0","         0","         0","       229","         3","        96","        14","         2","41",,,"1.80","96",,,,,,,,,,,,"726",,,,"726",,,,,,,,,,,,,,,,,,"7.66",,,"66.3","72.6","60.1",,,"       160","       160",,,,,"36.9","46.1",,
